"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2018 - Cuarto de primaria",,,,,,,
,,,,,,,
Código Geografico,REGION,PROVINCIA,DISTRITO,Cobertura IE,Cobertura Estudiantes,Medida Promedio en Comprensión Lectora,Medida Promedio en Matemática
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,"100,0","97,5",528,526
010103,AMAZONAS,CHACHAPOYAS,BALSAS,"100,0","100,0",537,527
010104,AMAZONAS,CHACHAPOYAS,CHETO,"100,0","100,0",537,528
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,"100,0","100,0",437,445
010107,AMAZONAS,CHACHAPOYAS,GRANADA,"100,0","100,0",528,523
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,"100,0","98,5",443,455
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,"100,0","98,7",478,481
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,"100,0","100,0",564,586
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,"100,0","100,0",467,463
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,"100,0","100,0",462,458
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,"100,0","100,0",517,504
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,"100,0","100,0",438,458
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,"100,0","100,0",484,459
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,"100,0","100,0",454,432
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,"100,0","100,0",426,477
010201,AMAZONAS,BAGUA,BAGUA,"100,0","98,3",468,459
010202,AMAZONAS,BAGUA,ARAMANGO,"100,0","95,9",452,450
010203,AMAZONAS,BAGUA,COPALLIN,"100,0","100,0",449,452
010204,AMAZONAS,BAGUA,EL PARCO,"100,0","100,0",454,458
010205,AMAZONAS,BAGUA,IMAZA,"84,6","88,2",-,-
010206,AMAZONAS,BAGUA,LA PECA,"100,0","93,4",454,454
010301,AMAZONAS,BONGARÁ,JUMBILLA,"100,0","100,0",512,504
010303,AMAZONAS,BONGARÁ,CHURUJA,"100,0","100,0",496,453
010304,AMAZONAS,BONGARÁ,COROSHA,"100,0","100,0",351,375
010305,AMAZONAS,BONGARÁ,CUISPES,"100,0","90,9",448,425
010306,AMAZONAS,BONGARÁ,FLORIDA,"100,0","100,0",481,495
010307,AMAZONAS,BONGARÁ,JAZAN,"100,0","97,8",499,499
010310,AMAZONAS,BONGARÁ,SHIPASBAMBA,"100,0","100,0",542,571
010312,AMAZONAS,BONGARÁ,YAMBRASBAMBA,"100,0","97,9",481,496
010401,AMAZONAS,CONDORCANQUI,NIEVA,"87,5","86,6",-,-
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,"100,0","83,3",301,284
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,"100,0","92,6",327,299
010501,AMAZONAS,LUYA,LAMUD,"100,0","100,0",517,530
010502,AMAZONAS,LUYA,CAMPORREDONDO,"100,0","95,8",453,458
010503,AMAZONAS,LUYA,COCABAMBA,"100,0","100,0",444,458
010504,AMAZONAS,LUYA,COLCAMAR,"100,0","100,0",486,497
010505,AMAZONAS,LUYA,CONILA,"100,0","100,0",441,437
010506,AMAZONAS,LUYA,INGUILPATA,"100,0","100,0",398,369
010507,AMAZONAS,LUYA,LONGUITA,"100,0","100,0",486,514
010508,AMAZONAS,LUYA,LONYA CHICO,"100,0","100,0",484,481
010509,AMAZONAS,LUYA,LUYA,"100,0","100,0",484,488
010510,AMAZONAS,LUYA,LUYA VIEJO,"100,0","83,3",457,490
010511,AMAZONAS,LUYA,MARIA,"100,0","100,0",563,555
010512,AMAZONAS,LUYA,OCALLI,"100,0","98,7",481,495
010513,AMAZONAS,LUYA,OCUMAL,"100,0","98,4",452,462
010514,AMAZONAS,LUYA,PISUQUIA,"100,0","99,0",470,477
010515,AMAZONAS,LUYA,PROVIDENCIA,"100,0","100,0",446,432
010516,AMAZONAS,LUYA,SAN CRISTOBAL,"100,0","100,0",476,466
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,"100,0","100,0",484,465
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,"100,0","100,0",473,549
010520,AMAZONAS,LUYA,SANTA CATALINA,"100,0","96,4",442,443
010521,AMAZONAS,LUYA,SANTO TOMAS,"100,0","100,0",473,495
010522,AMAZONAS,LUYA,TINGO,"100,0","100,0",511,506
010523,AMAZONAS,LUYA,TRITA,"100,0","92,7",473,462
010601,AMAZONAS,RODRÍGUEZ DE MENDOZA,SAN NICOLAS,"100,0","97,6",497,488
010602,AMAZONAS,RODRÍGUEZ DE MENDOZA,CHIRIMOTO,"100,0","94,4",480,474
010603,AMAZONAS,RODRÍGUEZ DE MENDOZA,COCHAMAL,"100,0","100,0",561,573
010604,AMAZONAS,RODRÍGUEZ DE MENDOZA,HUAMBO,"100,0","100,0",492,489
010605,AMAZONAS,RODRÍGUEZ DE MENDOZA,LIMABAMBA,"100,0","100,0",549,558
010606,AMAZONAS,RODRÍGUEZ DE MENDOZA,LONGAR,"100,0","100,0",474,480
010607,AMAZONAS,RODRÍGUEZ DE MENDOZA,MARISCAL BENAVIDES,"100,0","100,0",592,599
010608,AMAZONAS,RODRÍGUEZ DE MENDOZA,MILPUC,"100,0","80,0",411,425
010609,AMAZONAS,RODRÍGUEZ DE MENDOZA,OMIA,"100,0","100,0",476,478
010612,AMAZONAS,RODRÍGUEZ DE MENDOZA,VISTA ALEGRE,"100,0","100,0",441,461
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,"100,0","96,8",462,465
010702,AMAZONAS,UTCUBAMBA,CAJARURO,"100,0","97,2",450,450
010703,AMAZONAS,UTCUBAMBA,CUMBA,"100,0","98,5",449,463
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,"100,0","97,4",420,421
010705,AMAZONAS,UTCUBAMBA,JAMALCA,"100,0","97,9",505,493
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,"100,0","97,0",468,476
010707,AMAZONAS,UTCUBAMBA,YAMON,"100,0","96,6",446,448
020101,ÁNCASH,HUARAZ,HUARAZ,"100,0","98,7",493,487
020102,ÁNCASH,HUARAZ,COCHABAMBA,"100,0","100,0",354,339
020104,ÁNCASH,HUARAZ,HUANCHAY,"100,0","100,0",478,453
020105,ÁNCASH,HUARAZ,INDEPENDENCIA,"100,0","99,0",503,494
020106,ÁNCASH,HUARAZ,JANGAS,"100,0","100,0",398,398
020107,ÁNCASH,HUARAZ,LA LIBERTAD,"100,0","100,0",386,395
020108,ÁNCASH,HUARAZ,OLLEROS,"100,0","100,0",436,420
020109,ÁNCASH,HUARAZ,PAMPAS GRANDE,"100,0","100,0",439,422
020110,ÁNCASH,HUARAZ,PARIACOTO,"100,0","98,9",411,418
020111,ÁNCASH,HUARAZ,PIRA,"100,0","100,0",388,378
020112,ÁNCASH,HUARAZ,TARICA,"100,0","98,8",430,427
020201,ÁNCASH,AIJA,AIJA,"100,0","100,0",446,461
020202,ÁNCASH,AIJA,CORIS,"100,0","100,0",389,359
020203,ÁNCASH,AIJA,HUACLLAN,"100,0","100,0",458,426
020204,ÁNCASH,AIJA,LA MERCED,"100,0","100,0",403,412
020205,ÁNCASH,AIJA,SUCCHA,"100,0","100,0",478,492
020301,ÁNCASH,ANTONIO RAIMONDI,LLAMELLIN,"100,0","96,3",417,421
020302,ÁNCASH,ANTONIO RAIMONDI,ACZO,"100,0","100,0",435,412
020303,ÁNCASH,ANTONIO RAIMONDI,CHACCHO,"100,0","89,7",452,442
020304,ÁNCASH,ANTONIO RAIMONDI,CHINGAS,"100,0","96,0",445,429
020305,ÁNCASH,ANTONIO RAIMONDI,MIRGAS,"100,0","100,0",360,354
020306,ÁNCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY,"100,0","92,9",401,396
020401,ÁNCASH,ASUNCIÓN,CHACAS,"100,0","98,6",503,493
020402,ÁNCASH,ASUNCIÓN,ACOCHACA,"100,0","100,0",443,483
020501,ÁNCASH,BOLOGNESI,CHIQUIAN,"100,0","98,8",499,496
020503,ÁNCASH,BOLOGNESI,ANTONIO RAYMONDI,"100,0","94,1",423,453
020504,ÁNCASH,BOLOGNESI,AQUIA,"100,0","95,8",440,423
020505,ÁNCASH,BOLOGNESI,CAJACAY,"100,0","100,0",493,508
020507,ÁNCASH,BOLOGNESI,COLQUIOC,"100,0","100,0",565,544
020508,ÁNCASH,BOLOGNESI,HUALLANCA,"100,0","95,3",448,459
020509,ÁNCASH,BOLOGNESI,HUASTA,"100,0","100,0",470,438
020510,ÁNCASH,BOLOGNESI,HUAYLLACAYAN,"100,0","100,0",493,493
020511,ÁNCASH,BOLOGNESI,LA PRIMAVERA,"100,0","100,0",402,357
020512,ÁNCASH,BOLOGNESI,MANGAS,"100,0","100,0",529,509
020513,ÁNCASH,BOLOGNESI,PACLLON,"100,0","100,0",478,510
020514,ÁNCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,"100,0","100,0",502,543
020515,ÁNCASH,BOLOGNESI,TICLLOS,"100,0","100,0",473,474
020601,ÁNCASH,CARHUAZ,CARHUAZ,"100,0","99,0",446,458
020602,ÁNCASH,CARHUAZ,ACOPAMPA,"100,0","88,6",495,503
020603,ÁNCASH,CARHUAZ,AMASHCA,"100,0","100,0",404,454
020604,ÁNCASH,CARHUAZ,ANTA,"100,0","96,0",501,498
020605,ÁNCASH,CARHUAZ,ATAQUERO,"100,0","96,3",345,346
020606,ÁNCASH,CARHUAZ,MARCARA,"100,0","98,0",401,406
020607,ÁNCASH,CARHUAZ,PARIAHUANCA,"100,0","100,0",470,483
020608,ÁNCASH,CARHUAZ,SAN MIGUEL DE ACO,"100,0","100,0",454,470
020609,ÁNCASH,CARHUAZ,SHILLA,"100,0","100,0",418,429
020610,ÁNCASH,CARHUAZ,TINCO,"100,0","98,0",383,386
020611,ÁNCASH,CARHUAZ,YUNGAR,"100,0","95,5",473,480
020701,ÁNCASH,CARLOS FERMÍN FITZCARRAL,SAN LUIS,"100,0","100,0",434,450
020702,ÁNCASH,CARLOS FERMÍN FITZCARRAL,SAN NICOLAS,"100,0","100,0",416,410
020703,ÁNCASH,CARLOS FERMÍN FITZCARRAL,YAUYA,"100,0","98,8",386,391
020801,ÁNCASH,CASMA,CASMA,"100,0","97,7",472,474
020802,ÁNCASH,CASMA,BUENA VISTA ALTA,"100,0","91,5",448,451
020803,ÁNCASH,CASMA,COMANDANTE NOEL,"100,0","87,0",428,444
020804,ÁNCASH,CASMA,YAUTAN,"100,0","96,8",438,451
020901,ÁNCASH,CORONGO,CORONGO,"100,0","100,0",499,472
020902,ÁNCASH,CORONGO,ACO,"100,0","100,0",498,446
020903,ÁNCASH,CORONGO,BAMBAS,"100,0","100,0",410,396
020904,ÁNCASH,CORONGO,CUSCA,"100,0","100,0",466,473
020905,ÁNCASH,CORONGO,LA PAMPA,"100,0","100,0",410,406
020906,ÁNCASH,CORONGO,YANAC,"100,0","100,0",439,386
020907,ÁNCASH,CORONGO,YUPAN,"100,0","100,0",482,410
021001,ÁNCASH,HUARI,HUARI,"87,5","90,9",-,-
021002,ÁNCASH,HUARI,ANRA,"100,0","97,3",374,369
021003,ÁNCASH,HUARI,CAJAY,"100,0","100,0",400,389
021004,ÁNCASH,HUARI,CHAVIN DE HUANTAR,"100,0","99,0",498,534
021005,ÁNCASH,HUARI,HUACACHI,"100,0","96,7",467,475
021006,ÁNCASH,HUARI,HUACCHIS,"100,0","100,0",388,422
021007,ÁNCASH,HUARI,HUACHIS,"83,3","54,3",-,-
021008,ÁNCASH,HUARI,HUANTAR,"100,0","100,0",425,418
021009,ÁNCASH,HUARI,MASIN,"100,0","91,3",464,425
021010,ÁNCASH,HUARI,PAUCAS,"100,0","100,0",362,356
021011,ÁNCASH,HUARI,PONTO,"100,0","100,0",444,423
021012,ÁNCASH,HUARI,RAHUAPAMPA,"100,0","100,0",526,525
021013,ÁNCASH,HUARI,RAPAYAN,"100,0","100,0",463,465
021014,ÁNCASH,HUARI,SAN MARCOS,"100,0","97,9",439,432
021015,ÁNCASH,HUARI,SAN PEDRO DE CHANA,"100,0","96,8",406,395
021016,ÁNCASH,HUARI,UCO,"100,0","100,0",458,520
021101,ÁNCASH,HUARMEY,HUARMEY,"100,0","98,7",476,473
021103,ÁNCASH,HUARMEY,CULEBRAS,"100,0","100,0",464,439
021104,ÁNCASH,HUARMEY,HUAYAN,"100,0","100,0",432,450
021105,ÁNCASH,HUARMEY,MALVAS,"100,0","100,0",498,557
021201,ÁNCASH,HUAYLAS,CARAZ,"100,0","98,5",433,424
021202,ÁNCASH,HUAYLAS,HUALLANCA,"100,0","100,0",375,374
021203,ÁNCASH,HUAYLAS,HUATA,"100,0","93,8",404,430
021204,ÁNCASH,HUAYLAS,HUAYLAS,"100,0","100,0",457,454
021205,ÁNCASH,HUAYLAS,MATO,"100,0","100,0",392,368
021206,ÁNCASH,HUAYLAS,PAMPAROMAS,"100,0","98,7",375,383
021207,ÁNCASH,HUAYLAS,PUEBLO LIBRE,"100,0","100,0",399,417
