Codigo Geografico;REGION;PROVINCIA;DISTRITO;Cobertura Estudiantes;Medida Promedio Comprension Lectora;Medida Promedio Matematica;Lect_Previo al Inicio;Lect_En inicio;Lect_En proceso;Lect_Satisfactorio;Mat_Previo al Inicio;Mat_En inicio;Mat_En proceso;Mat_Satisfactorio;CUARTIL
10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;98.0;532.0;524.0;0.8;14.0;34.0;51.2;1.8;9.5;42.6;46.0;Q1
10103;AMAZONAS;CHACHAPOYAS;BALSAS;79.2;;;;;;;;;;;
10104;AMAZONAS;CHACHAPOYAS;CHETO;100.0;533.0;525.0;0.0;0.0;55.6;44.4;0.0;0.0;55.6;44.4;Q1
10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;93.6;458.0;449.0;6.4;43.8;31.8;17.9;6.6;27.1;55.0;11.3;Q2
10107;AMAZONAS;CHACHAPOYAS;GRANADA;100.0;553.0;520.0;0.0;0.0;27.3;72.7;0.0;0.0;45.5;54.5;Q1
10109;AMAZONAS;CHACHAPOYAS;LA JALCA;98.5;443.0;450.0;15.7;45.7;18.5;20.1;9.4;33.4;41.9;15.4;Q2
10110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;100.0;507.0;528.0;1.6;15.9;34.9;47.6;4.8;9.5;33.3;52.4;Q1
10111;AMAZONAS;CHACHAPOYAS;LEVANTO;100.0;507.0;513.0;0.0;18.8;43.8;37.5;0.0;6.3;62.5;31.3;Q1
10112;AMAZONAS;CHACHAPOYAS;MAGDALENA;100.0;453.0;465.0;0.0;42.9;42.9;14.3;4.8;23.8;52.4;19.0;Q2
10113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;100.0;428.0;429.0;21.5;33.5;45.0;0.0;21.5;18.8;53.8;5.9;Q3
10114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;100.0;486.0;458.0;2.2;27.0;41.3;29.5;4.4;31.4;50.8;13.3;Q2
10115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;100.0;467.0;448.0;20.0;20.0;30.0;30.0;20.0;30.0;40.0;10.0;Q3
10116;AMAZONAS;CHACHAPOYAS;OLLEROS;83.3;421.0;358.0;0.0;80.0;0.0;20.0;60.0;20.0;20.0;0.0;Q4
10119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;100.0;450.0;437.0;0.0;44.4;44.4;11.1;0.0;44.4;55.6;0.0;Q3
10120;AMAZONAS;CHACHAPOYAS;SOLOCO;100.0;406.0;398.0;31.3;31.3;31.3;6.3;31.3;18.8;43.8;6.3;Q4
10201;AMAZONAS;BAGUA;BAGUA;96.9;473.0;459.0;8.1;29.1;36.2;26.6;11.3;25.9;40.1;22.7;Q2
10202;AMAZONAS;BAGUA;ARAMANGO;96.7;445.0;453.0;17.8;32.1;30.4;19.7;18.1;20.2;38.0;23.7;Q2
10203;AMAZONAS;BAGUA;COPALLIN;95.1;463.0;457.0;9.8;29.5;31.1;29.5;13.1;18.0;50.8;18.0;Q2
