Codigo Geografico;REGION;PROVINCIA;DISTRITO;Cobertura Estudiantes;Medida Promedio Comprension Lectora;Medida Promedio Matematica;Lect_Previo al Inicio;Lect_En inicio;Lect_En proceso;Lect_Satisfactorio;Mat_Previo al Inicio;Mat_En inicio;Mat_En proceso;Mat_Satisfactorio
010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;97.5;520.0;520.0;0.7;13.8;37.5;48.0;4.8;10.4;35.3;49.4
010103;AMAZONAS;CHACHAPOYAS;BALSAS;96.3;438.0;432.0;7.7;42.3;38.6;11.4;30.9;15.1;31.5;22.5
010104;AMAZONAS;CHACHAPOYAS;CHETO;100.0;495.0;511.0;0.0;25.0;25.0;50.0;25.0;0.0;50.0;25.0
010106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;100.0;473.0;463.0;0.0;42.9;32.1;25.0;17.9;17.9;39.3;25.0
010109;AMAZONAS;CHACHAPOYAS;LA JALCA;100.0;450.0;426.0;5.6;44.3;37.3;12.8;24.9;26.1;31.8;17.2
010110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;91.4;493.0;482.0;1.9;25.7;38.3;34.1;20.5;13.4;30.3;35.8
010111;AMAZONAS;CHACHAPOYAS;LEVANTO;100.0;489.0;540.0;0.0;28.6;42.9;28.6;0.0;0.0;42.9;57.1
010112;AMAZONAS;CHACHAPOYAS;MAGDALENA;93.8;490.0;499.0;0.0;20.0;53.3;26.7;13.3;6.7;40.0;40.0
010114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;100.0;506.0;519.0;9.4;12.5;28.1;50.0;9.4;18.8;28.1;43.8
010115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;100.0;541.0;559.0;0.0;0.0;20.0;80.0;0.0;0.0;40.0;60.0
010119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;100.0;476.0;462.0;9.1;18.2;63.6;9.1;18.2;18.2;45.5;18.2
010120;AMAZONAS;CHACHAPOYAS;SOLOCO;90.9;493.0;489.0;0.0;9.1;72.7;18.2;9.1;9.1;40.9;40.9
010201;AMAZONAS;BAGUA;BAGUA;96.9;489.0;474.0;1.5;25.1;44.9;28.4;10.1;18.5;44.0;27.4
