PROVINCIA,LECT_EN INICIO_2016,LECT_EN PROCESO_2016,LECT_PREVIO AL INICIO_2016,LECT_SATISFACTORIO_2016,MAT_EN INICIO_2016,MAT_EN PROCESO_2016,MAT_PREVIO AL INICIO_2016,MAT_SATISFACTORIO_2016,MEDIDA PROMEDIO COMPRENSION LECTORA_2016,MEDIDA PROMEDIO MATEMATICA_2016,LECT_EN INICIO_2018,LECT_EN PROCESO_2018,LECT_PREVIO AL INICIO_2018,LECT_SATISFACTORIO_2018,MAT_EN INICIO_2018,MAT_EN PROCESO_2018,MAT_PREVIO AL INICIO_2018,MAT_SATISFACTORIO_2018,MEDIDA PROMEDIO COMPRENSION LECTORA_2018,MEDIDA PROMEDIO MATEMATICA_2018,VAB_Administración_Pública_y_Defensa_2016,VAB_Administración_Pública_y_Defensa_2018,VAB_Electricidad_Gas_y_Agua_2016,VAB_Electricidad_Gas_y_Agua_2018,VAB_Telecom_y_Otros_Serv_de_Información_2016,VAB_Telecom_y_Otros_Serv_de_Información_2018,CUARTIL_2024,REGION_ANCASH,REGION_APURIMAC,REGION_AREQUIPA,REGION_AYACUCHO,REGION_CAJAMARCA,REGION_CUSCO,REGION_HUANCAVELICA,REGION_HUANUCO,REGION_ICA,REGION_JUNIN,REGION_LA LIBERTAD,REGION_LAMBAYEQUE,REGION_LIMA,REGION_LORETO,REGION_MADRE DE DIOS,REGION_MOQUEGUA,REGION_PASCO,REGION_PIURA,REGION_PUNO,REGION_SAN MARTIN,REGION_TACNA,REGION_TUMBES,REGION_UCAYALI
BAGUA,41.93333333333333,24.816666666666663,15.65,17.566666666666666,27.266666666666666,31.98333333333333,20.7,20.016666666666666,436.5,439.6666666666667,33.18,29.880000000000003,11.92,25.02,27.96,45.260000000000005,9.82,16.939999999999998,455.4,454.6,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BONGARÁ,39.2625,32.4625,9.9875,18.275,28.525,41.6,17.3375,12.5625,451.5,433.625,16.85,31.675,16.025,35.45,23.9875,31.4875,9.35,35.175000000000004,476.25,477.25,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHACHAPOYAS,29.807142857142857,34.34285714285714,7.107142857142857,28.75714285714286,19.5,46.62857142857143,11.757142857142856,22.12857142857143,474.57142857142856,464.4285714285714,25.966666666666665,34.38,6.2,33.473333333333336,17.89333333333333,47.72,3.606666666666667,30.82,486.6666666666667,488.1333333333333,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CONDORCANQUI,34.150000000000006,11.75,45.3,8.8,22.35,26.6,47.95,3.05,383.0,371.0,5.55,3.7,88.85,1.85,3.7,3.7,92.55,0.0,314.0,291.5,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LUYA,26.976190476190474,39.457142857142856,8.214285714285714,25.34761904761905,20.81904761904762,44.24285714285715,7.876190476190477,27.03333333333333,476.0,474.04761904761904,26.227272727272727,35.78636363636363,9.659090909090908,28.33181818181818,21.604545454545452,41.18181818181818,7.668181818181818,29.55454545454546,472.45454545454544,478.59090909090907,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RODRÍGUEZ DE MENDOZA,30.55555555555556,35.51111111111111,5.033333333333333,28.9,22.244444444444444,40.03333333333333,7.333333333333333,30.4,479.6666666666667,478.6666666666667,17.27,26.07,9.35,47.29,11.08,40.02,8.440000000000001,40.45,497.3,502.5,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UTCUBAMBA,31.27142857142857,34.471428571428575,13.285714285714286,21.014285714285712,25.17142857142857,39.51428571428572,15.228571428571428,20.1,455.4285714285714,451.8571428571428,32.17142857142857,30.17142857142857,13.242857142857144,24.414285714285715,25.385714285714283,39.74285714285714,11.757142857142856,23.1,457.1428571428572,459.4285714285714,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AIJA,32.78,32.1,20.7,14.419999999999998,25.68,33.64,24.38,16.3,436.4,429.8,34.480000000000004,38.62,15.46,11.46,26.059999999999995,38.08,21.08,14.78,434.8,430.0,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTONIO RAIMONDI,35.4,24.71666666666667,27.8,12.116666666666664,28.83333333333333,29.566666666666663,30.616666666666664,10.983333333333334,416.8333333333333,407.8333333333333,35.050000000000004,21.33333333333333,28.28333333333333,15.3,34.43333333333333,34.016666666666666,23.366666666666664,8.166666666666666,418.3333333333333,409.0,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ASUNCIÓN,33.75,33.5,18.25,14.5,27.200000000000003,40.55,17.2,15.0,440.5,436.0,30.35,32.45,10.45,26.75,19.65,44.75,3.7,31.9,473.0,488.0,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BOLOGNESI,27.97,32.97,16.169999999999998,22.880000000000003,27.27,39.94,15.28,17.52,451.3,442.4,24.91538461538461,32.0,10.592307692307692,32.51538461538461,20.307692307692307,44.52307692307692,7.730769230769231,27.430769230769236,478.0769230769231,477.46153846153845,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CARHUAZ,37.71818181818182,27.745454545454542,25.272727272727277,9.28181818181818,32.9,31.09090909090909,27.518181818181816,8.5,414.8181818181818,407.0,33.309090909090905,25.20909090909091,22.536363636363635,18.945454545454545,26.363636363636363,44.16363636363636,13.818181818181818,15.627272727272729,435.45454545454544,446.6363636363636,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CARLOS FERMÍN FITZCARRAL,39.46666666666667,19.166666666666668,33.13333333333333,8.233333333333333,25.266666666666666,28.766666666666666,34.800000000000004,11.2,399.0,403.3333333333333,34.733333333333334,24.03333333333333,28.933333333333334,12.3,25.133333333333336,36.46666666666667,26.8,11.6,412.0,417.0,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CASMA,36.4,31.8,13.45,18.4,26.45,36.4,21.275,15.85,447.25,433.0,36.6,27.875,15.4,20.175,23.775,46.175,12.075,18.0,446.5,455.0,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
