PROVINCIA,LECT_EN INICIO_2016,LECT_EN PROCESO_2016,MAT_EN INICIO_2016,MAT_EN PROCESO_2016,MEDIDA PROMEDIO MATEMATICA_2016,LECT_EN INICIO_2018,LECT_EN PROCESO_2018,MAT_EN INICIO_2018,MAT_EN PROCESO_2018,MEDIDA PROMEDIO MATEMATICA_2018,CUARTIL_2024,REGION_ANCASH,REGION_APURIMAC,REGION_AREQUIPA,REGION_AYACUCHO,REGION_CAJAMARCA,REGION_CUSCO,REGION_HUANCAVELICA,REGION_HUANUCO,REGION_ICA,REGION_JUNIN,REGION_LA LIBERTAD,REGION_LAMBAYEQUE,REGION_LIMA,REGION_LORETO,REGION_MADRE DE DIOS,REGION_MOQUEGUA,REGION_PASCO,REGION_PIURA,REGION_PUNO,REGION_SAN MARTIN,REGION_TACNA,REGION_TUMBES,REGION_UCAYALI
BAGUA,41.93333333333333,24.816666666666663,27.266666666666666,31.98333333333333,439.6666666666667,33.18,29.880000000000003,27.96,45.260000000000005,454.6,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BONGARÁ,39.2625,32.4625,28.525,41.6,433.625,16.85,31.675,23.9875,31.4875,477.25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHACHAPOYAS,29.807142857142857,34.34285714285714,19.5,46.62857142857143,464.4285714285714,25.966666666666665,34.38,17.89333333333333,47.72,488.1333333333333,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CONDORCANQUI,34.150000000000006,11.75,22.35,26.6,371.0,5.55,3.7,3.7,3.7,291.5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LUYA,26.976190476190474,39.457142857142856,20.81904761904762,44.24285714285715,474.04761904761904,26.227272727272727,35.78636363636363,21.604545454545452,41.18181818181818,478.59090909090907,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RODRÍGUEZ DE MENDOZA,30.55555555555556,35.51111111111111,22.244444444444444,40.03333333333333,478.6666666666667,17.27,26.07,11.08,40.02,502.5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UTCUBAMBA,31.27142857142857,34.471428571428575,25.17142857142857,39.51428571428572,451.8571428571428,32.17142857142857,30.17142857142857,25.385714285714283,39.74285714285714,459.4285714285714,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AIJA,32.78,32.1,25.68,33.64,429.8,34.480000000000004,38.62,26.059999999999995,38.08,430.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTONIO RAIMONDI,35.4,24.71666666666667,28.83333333333333,29.566666666666663,407.8333333333333,35.050000000000004,21.33333333333333,34.43333333333333,34.016666666666666,409.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ASUNCIÓN,33.75,33.5,27.200000000000003,40.55,436.0,30.35,32.45,19.65,44.75,488.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BOLOGNESI,27.97,32.97,27.27,39.94,442.4,24.91538461538461,32.0,20.307692307692307,44.52307692307692,477.46153846153845,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CARHUAZ,37.71818181818182,27.745454545454542,32.9,31.09090909090909,407.0,33.309090909090905,25.20909090909091,26.363636363636363,44.16363636363636,446.6363636363636,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CARLOS FERMÍN FITZCARRAL,39.46666666666667,19.166666666666668,25.266666666666666,28.766666666666666,403.3333333333333,34.733333333333334,24.03333333333333,25.133333333333336,36.46666666666667,417.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CASMA,36.4,31.8,26.45,36.4,433.0,36.6,27.875,23.775,46.175,455.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CORONGO,28.24,25.9,29.5,25.520000000000003,403.0,28.7,21.25714285714286,19.557142857142857,30.842857142857135,427.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HUARAZ,33.809090909090905,23.545454545454547,29.50909090909091,27.29090909090909,409.45454545454544,29.536363636363635,25.045454545454547,27.681818181818183,29.172727272727272,421.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
