REGION,PROVINCIA,LECT_EN INICIO_2016,LECT_EN PROCESO_2016,LECT_PREVIO AL INICIO_2016,LECT_SATISFACTORIO_2016,MAT_EN INICIO_2016,MAT_EN PROCESO_2016,MAT_PREVIO AL INICIO_2016,MAT_SATISFACTORIO_2016,MEDIDA PROMEDIO COMPRENSION LECTORA_2016,MEDIDA PROMEDIO MATEMATICA_2016,LECT_EN INICIO_2018,LECT_EN PROCESO_2018,LECT_PREVIO AL INICIO_2018,LECT_SATISFACTORIO_2018,MAT_EN INICIO_2018,MAT_EN PROCESO_2018,MAT_PREVIO AL INICIO_2018,MAT_SATISFACTORIO_2018,MEDIDA PROMEDIO COMPRENSION LECTORA_2018,MEDIDA PROMEDIO MATEMATICA_2018,VAB_Administración_Pública_y_Defensa_2016,VAB_Administración_Pública_y_Defensa_2018,VAB_Electricidad_Gas_y_Agua_2016,VAB_Electricidad_Gas_y_Agua_2018,VAB_Telecom_y_Otros_Serv_de_Información_2016,VAB_Telecom_y_Otros_Serv_de_Información_2018,CUARTIL_2024
AMAZONAS,BAGUA,32.1,30.4,17.8,19.7,20.2,38.0,18.1,23.7,445.0,453.0,29.1,31.6,16.1,23.2,28.3,38.8,14.4,18.4,452.0,450.0,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,Q3
AMAZONAS,BAGUA,29.1,36.2,8.1,26.6,25.9,40.1,11.3,22.7,473.0,459.0,25.5,35.8,12.1,26.6,24.9,43.7,10.9,20.5,468.0,459.0,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,Q2
AMAZONAS,BAGUA,29.5,31.1,9.8,29.5,18.0,50.8,13.1,18.0,463.0,457.0,42.6,34.0,8.5,14.9,31.9,42.5,10.7,14.9,449.0,452.0,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,Q3
AMAZONAS,BAGUA,87.5,0.0,12.5,0.0,62.5,12.5,25.0,0.0,386.0,389.0,40.0,10.0,10.0,40.0,30.0,60.0,0.0,10.0,454.0,458.0,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,Q4
AMAZONAS,BAGUA,40.4,15.6,38.6,5.4,29.7,19.1,48.1,3.1,387.0,370.0,,,,,,,,,,,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,Q4
AMAZONAS,BAGUA,33.0,35.6,7.1,24.2,7.3,31.4,8.6,52.6,465.0,510.0,28.7,38.0,12.9,20.4,24.7,41.3,13.1,20.9,454.0,454.0,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,Q3
AMAZONAS,BONGARÁ,,,,,,,,,,,0.0,75.0,0.0,25.0,50.0,25.0,0.0,25.0,496.0,453.0,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,Q1
AMAZONAS,BONGARÁ,52.9,29.4,11.8,5.9,41.2,11.8,47.1,0.0,420.0,360.0,0.0,20.0,80.0,0.0,40.0,20.0,40.0,0.0,351.0,375.0,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,Q1
AMAZONAS,BONGARÁ,35.7,21.4,28.6,14.3,21.4,35.7,42.9,0.0,406.0,399.0,29.5,29.5,20.5,20.5,47.3,20.5,11.6,20.5,448.0,425.0,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,Q4
AMAZONAS,BONGARÁ,35.9,35.0,4.7,24.3,29.1,43.0,11.6,16.3,470.0,455.0,23.5,39.0,7.4,30.1,22.1,41.9,2.9,33.1,481.0,495.0,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,Q1
AMAZONAS,BONGARÁ,21.2,36.6,2.5,39.7,22.1,45.8,0.0,32.1,502.0,492.0,27.7,28.4,2.3,41.6,12.0,48.5,2.2,37.2,499.0,499.0,280083.0,302870.0,32680.0,36549.0,54385.0,63345.0,Q1
