Departamento,Actividad_Economica,Año,VAB_precios_constantes_2007_miles_soles
Amazonas,Administración Pública y Defensa,2016,280083.0
Amazonas,"Electricidad, Gas y Agua",2016,32680.0
Amazonas,Telecom. y Otros Serv. de Información,2016,54385.0
Amazonas,Administración Pública y Defensa,2018,302870.0
Amazonas,"Electricidad, Gas y Agua",2018,36549.0
Amazonas,Telecom. y Otros Serv. de Información,2018,63345.0
Apurímac,Administración Pública y Defensa,2016,289305.0
Apurímac,"Electricidad, Gas y Agua",2016,40299.0
Apurímac,Telecom. y Otros Serv. de Información,2016,51781.0
Apurímac,Administración Pública y Defensa,2018,315450.0
Apurímac,"Electricidad, Gas y Agua",2018,46425.0
Apurímac,Telecom. y Otros Serv. de Información,2018,56069.0
Arequipa,Administración Pública y Defensa,2016,862133.0
Arequipa,"Electricidad, Gas y Agua",2016,289112.0
Arequipa,Telecom. y Otros Serv. de Información,2016,967344.0
Arequipa,Administración Pública y Defensa,2018,949813.0
Arequipa,"Electricidad, Gas y Agua",2018,302127.0
Arequipa,Telecom. y Otros Serv. de Información,2018,1112326.0
Ayacucho,Administración Pública y Defensa,2016,442378.0
Ayacucho,"Electricidad, Gas y Agua",2016,35597.0
Ayacucho,Telecom. y Otros Serv. de Información,2016,174710.0
Ayacucho,Administración Pública y Defensa,2018,492931.0
Ayacucho,"Electricidad, Gas y Agua",2018,39679.0
Ayacucho,Telecom. y Otros Serv. de Información,2018,215619.0
Cajamarca,Administración Pública y Defensa,2016,876369.0
Cajamarca,"Electricidad, Gas y Agua",2016,145362.0
Cajamarca,Telecom. y Otros Serv. de Información,2016,339939.0
Cajamarca,Administración Pública y Defensa,2018,973558.0
Cajamarca,"Electricidad, Gas y Agua",2018,175882.0
Cajamarca,Telecom. y Otros Serv. de Información,2018,392996.0
Cusco,Administración Pública y Defensa,2016,799568.0
Cusco,"Electricidad, Gas y Agua",2016,253924.0
Cusco,Telecom. y Otros Serv. de Información,2016,484937.0
Cusco,Administración Pública y Defensa,2018,898876.0
Cusco,"Electricidad, Gas y Agua",2018,275531.0
Cusco,Telecom. y Otros Serv. de Información,2018,511898.0
Huancavelica,Administración Pública y Defensa,2016,323074.0
Huancavelica,"Electricidad, Gas y Agua",2016,851077.0
Huancavelica,Telecom. y Otros Serv. de Información,2016,27572.0
Huancavelica,Administración Pública y Defensa,2018,360197.0
Huancavelica,"Electricidad, Gas y Agua",2018,1129287.0
Huancavelica,Telecom. y Otros Serv. de Información,2018,31263.0
Huánuco,Administración Pública y Defensa,2016,536964.0
Huánuco,"Electricidad, Gas y Agua",2016,111524.0
Huánuco,Telecom. y Otros Serv. de Información,2016,202087.0
Huánuco,Administración Pública y Defensa,2018,600651.0
Huánuco,"Electricidad, Gas y Agua",2018,364012.0
Huánuco,Telecom. y Otros Serv. de Información,2018,220337.0
Ica,Administración Pública y Defensa,2016,506654.0
Ica,"Electricidad, Gas y Agua",2016,238705.0
Ica,Telecom. y Otros Serv. de Información,2016,420872.0
Ica,Administración Pública y Defensa,2018,543283.0
Ica,"Electricidad, Gas y Agua",2018,276336.0
Ica,Telecom. y Otros Serv. de Información,2018,529318.0
Junín,Administración Pública y Defensa,2016,827456.0
Junín,"Electricidad, Gas y Agua",2016,330265.0
Junín,Telecom. y Otros Serv. de Información,2016,490849.0
Junín,Administración Pública y Defensa,2018,925815.0
Junín,"Electricidad, Gas y Agua",2018,388707.0
Junín,Telecom. y Otros Serv. de Información,2018,575488.0
La Libertad,Administración Pública y Defensa,2016,993610.0
La Libertad,"Electricidad, Gas y Agua",2016,243686.0
La Libertad,Telecom. y Otros Serv. de Información,2016,994168.0
La Libertad,Administración Pública y Defensa,2018,1075544.0
La Libertad,"Electricidad, Gas y Agua",2018,218544.0
La Libertad,Telecom. y Otros Serv. de Información,2018,1196505.0
Lambayeque,Administración Pública y Defensa,2016,764005.0
Lambayeque,"Electricidad, Gas y Agua",2016,127661.0
